timestamp,time_s,disp_mm,disp_ul,raw_V,avg_V
2026-06-12T17:47:03.068745,1.702033,3.404067,59.815014,0.998071,0.988859
2026-06-12T17:47:03.080172,1.712523,3.425047,60.183674,0.999039,0.989227
2026-06-12T17:47:03.092177,1.722850,3.445700,60.546574,0.990978,0.991807
2026-06-12T17:47:03.100009,1.732910,3.465821,60.900133,0.996137,0.994755
2026-06-12T17:47:03.111217,1.742941,3.485883,61.252655,0.999361,0.996137
2026-06-12T17:47:03.121885,1.753289,3.506578,61.616300,0.983239,0.994571
2026-06-12T17:47:03.133171,1.763657,3.527314,61.980669,0.984529,0.993050
2026-06-12T17:47:03.141524,1.774050,3.548101,62.345927,0.997749,0.993004
2026-06-12T17:47:03.151117,1.784406,3.568812,62.709857,1.000973,0.993281
2026-06-12T17:47:03.163883,1.794778,3.589556,63.074363,1.002908,0.994985
2026-06-12T17:47:03.171892,1.805303,3.610605,63.444235,1.002908,0.995952
2026-06-12T17:47:03.183181,1.815678,3.631355,63.808850,1.001296,0.996229
2026-06-12T17:47:03.192393,1.825713,3.651426,64.161520,0.998394,0.998394
2026-06-12T17:47:03.205262,1.835905,3.671809,64.519689,1.001941,1.000881
2026-06-12T17:47:03.216504,1.846984,3.693968,64.909063,1.001618,1.001434
2026-06-12T17:47:03.224879,1.857564,3.715128,65.280879,0.942612,0.993097
2026-06-12T17:47:03.234036,1.867643,3.735286,65.635077,0.943257,0.984575
2026-06-12T17:47:03.246862,1.877315,3.754630,65.974986,0.979370,0.981212
2026-06-12T17:47:03.254507,1.887703,3.775407,66.340065,0.948738,0.973704
2026-06-12T17:47:03.266508,1.898010,3.796020,66.702280,0.921331,0.962695
2026-06-12T17:47:03.275467,1.907995,3.815991,67.053196,0.971954,0.958412
2026-06-12T17:47:03.285310,1.918642,3.837285,67.427370,0.992912,0.957168
2026-06-12T17:47:03.297011,1.928827,3.857654,67.785290,0.964538,0.960300
2026-06-12T17:47:03.308755,1.939543,3.879086,68.161878,0.920686,0.957076
2026-06-12T17:47:03.316676,1.949528,3.899056,68.512780,0.955510,0.953667
2026-06-12T17:47:03.328546,1.959837,3.919674,68.875076,0.974533,0.957352
2026-06-12T17:47:03.338587,1.970140,3.940280,69.237160,0.986786,0.966703
2026-06-12T17:47:03.349813,1.980533,3.961066,69.602401,0.995169,0.970019
2026-06-12T17:47:03.358222,1.991005,3.982010,69.970428,0.977113,0.967762
2026-06-12T17:47:03.368208,2.001332,4.002665,70.333367,0.944224,0.964860
2026-06-12T17:47:03.380187,2.011865,4.023730,70.703520,0.973566,0.972415
2026-06-12T17:47:03.391537,2.022082,4.044165,71.062582,0.959379,0.972967
2026-06-12T17:47:03.399801,2.032507,4.065014,71.428937,0.900373,0.962373
2026-06-12T17:47:03.409242,2.042512,4.085024,71.780549,0.910046,0.951410
2026-06-12T17:47:03.421803,2.053181,4.106363,72.155503,0.926168,0.941553
2026-06-12T17:47:03.433112,2.063688,4.127376,72.524743,0.980982,0.942105
2026-06-12T17:47:03.443636,2.074432,4.148865,72.902340,1.004842,0.950765
2026-06-12T17:47:03.450984,2.084670,4.169340,73.262115,1.009679,0.955924
2026-06-12T17:47:03.463230,2.094283,4.188566,73.599955,1.000973,0.961866
2026-06-12T17:47:03.471491,2.104634,4.209269,73.963733,0.988398,0.974441
2026-06-12T17:47:03.483879,2.115321,4.230641,74.339278,1.007100,0.988306
2026-06-12T17:47:03.492403,2.125727,4.251453,74.704986,1.009357,1.000190
2026-06-12T17:47:03.505057,2.135503,4.271006,75.048550,1.008067,1.004059
2026-06-12T17:47:03.513597,2.146067,4.292134,75.419810,1.020319,1.006270
2026-06-12T17:47:03.524800,2.156678,4.313355,75.792701,1.024511,1.008389
2026-06-12T17:47:03.533111,2.166808,4.333615,76.148703,0.994847,1.007514
2026-06-12T17:47:03.543589,2.177188,4.354375,76.513490,0.980660,1.006409
2026-06-12T17:47:03.555688,2.187170,4.374339,76.864293,1.006777,1.006363
2026-06-12T17:47:03.566931,2.197736,4.395471,77.235614,1.007422,1.006086
2026-06-12T17:47:03.575363,2.207987,4.415974,77.595874,1.011614,1.006593
2026-06-12T17:47:03.584621,2.217517,4.435034,77.930804,1.018707,1.006363
2026-06-12T17:47:03.596507,2.228187,4.456374,78.305779,1.018707,1.005533
2026-06-12T17:47:03.604964,2.238204,4.476408,78.657802,1.007100,1.007284
2026-06-12T17:47:03.616954,2.249275,4.498551,79.046891,0.999683,1.010001
2026-06-12T17:47:03.625884,2.258912,4.517824,79.385552,1.015160,1.011199
2026-06-12T17:47:03.638279,2.269510,4.539019,79.757987,1.017095,1.012581
2026-06-12T17:47:03.647720,2.279927,4.559854,80.124088,1.022577,1.014147
